scenario,run-number,value,final,min,max,mean,ticks
A,17,sum [natural-infected] of turtles,0,0,0,0,1500
A,17,sum [road-infected] of turtles,8,0,8,4.819453698,1500
A,17,sum [forest-edge-infected] of turtles,36,0,36,18.07528314,1500
A,17,sum [industrial-infected] of turtles,6,0,6,3.622251832,1500
A,17,sum [institutional-infected] of turtles,6,0,6,3.193870753,1500
A,17,sum [commercial-infected] of turtles,37,0,37,19.23717522,1500
A,17,sum [landscaped-green-area-infected] of turtles,47,0,47,23.03597602,1500
A,18,R0-SEI,0,0,0,0,14
A,18,attack-rate,0,0,6.25,5.416666667,14
A,18,sum [overall-infection] of turtles,0,0,0,0,14
A,18,sum [forest-infected] of turtles,0,0,0,0,14
A,18,sum [HDR-infected] of turtles,0,0,0,0,14
A,18,sum [MDR-infected] of turtles,0,0,0,0,14
A,18,sum [natural-infected] of turtles,0,0,0,0,14
A,18,sum [road-infected] of turtles,0,0,0,0,14
A,18,sum [forest-edge-infected] of turtles,0,0,0,0,14
A,18,sum [industrial-infected] of turtles,0,0,0,0,14
A,18,sum [institutional-infected] of turtles,0,0,0,0,14
A,18,sum [commercial-infected] of turtles,0,0,0,0,14
A,18,sum [landscaped-green-area-infected] of turtles,0,0,0,0,14
A,19,R0-SEI,2.75,0,3.375,2.476224184,1500
A,19,attack-rate,75,0,93.75,63.27448368,1500
A,19,sum [overall-infection] of turtles,466,0,466,234.7381746,1500
A,19,sum [forest-infected] of turtles,169,0,169,87.27781479,1500
A,19,sum [HDR-infected] of turtles,60,0,60,29.95736176,1500
A,19,sum [MDR-infected] of turtles,109,0,109,50.07261825,1500
A,19,sum [natural-infected] of turtles,0,0,0,0,1500
A,19,sum [road-infected] of turtles,9,0,9,4.918720853,1500
A,19,sum [forest-edge-infected] of turtles,40,0,40,22.16255829,1500
A,19,sum [industrial-infected] of turtles,3,0,3,2.253830779,1500
A,19,sum [institutional-infected] of turtles,4,0,4,1.128580946,1500
A,19,sum [commercial-infected] of turtles,27,0,27,12.71818787,1500
A,19,sum [landscaped-green-area-infected] of turtles,45,0,45,24.248501,1500
A,20,R0-SEI,0,0,0,0,6
A,20,attack-rate,0,0,6.25,4.464285714,6
A,20,sum [overall-infection] of turtles,0,0,0,0,6
A,20,sum [forest-infected] of turtles,0,0,0,0,6
A,20,sum [HDR-infected] of turtles,0,0,0,0,6
A,20,sum [MDR-infected] of turtles,0,0,0,0,6
A,20,sum [natural-infected] of turtles,0,0,0,0,6
A,20,sum [road-infected] of turtles,0,0,0,0,6
A,20,sum [forest-edge-infected] of turtles,0,0,0,0,6
A,20,sum [industrial-infected] of turtles,0,0,0,0,6
A,20,sum [institutional-infected] of turtles,0,0,0,0,6
A,20,sum [commercial-infected] of turtles,0,0,0,0,6
A,20,sum [landscaped-green-area-infected] of turtles,0,0,0,0,6
A,21,R0-SEI,4.625,0,4.625,2.551882079,1500
A,21,attack-rate,87.5,0,100,67.13441039,1500
A,21,sum [overall-infection] of turtles,460,0,460,220.9860093,1500
A,21,sum [forest-infected] of turtles,168,0,168,82.06862092,1500
A,21,sum [HDR-infected] of turtles,69,0,69,33.95536309,1500
A,21,sum [MDR-infected] of turtles,110,0,110,54.14323784,1500
A,21,sum [natural-infected] of turtles,0,0,0,0,1500
A,21,sum [road-infected] of turtles,5,0,5,2.615589607,1500
A,21,sum [forest-edge-infected] of turtles,26,0,26,11.75283145,1500
A,21,sum [industrial-infected] of turtles,7,0,7,2.303797468,1500
A,21,sum [institutional-infected] of turtles,3,0,3,0.858094604,1500
A,21,sum [commercial-infected] of turtles,34,0,34,16.12058628,1500
A,21,sum [landscaped-green-area-infected] of turtles,38,0,38,17.16788807,1500
A,22,R0-SEI,0.125,0,0.125,0.048214286,34
A,22,attack-rate,0,0,6.25,5.892857143,34
A,22,sum [overall-infection] of turtles,2,0,2,0.771428571,34
A,22,sum [forest-infected] of turtles,1,0,1,0.514285714,34
A,22,sum [HDR-infected] of turtles,1,0,1,0.257142857,34
A,22,sum [MDR-infected] of turtles,0,0,0,0,34
A,22,sum [natural-infected] of turtles,0,0,0,0,34
A,22,sum [road-infected] of turtles,0,0,0,0,34
A,22,sum [forest-edge-infected] of turtles,0,0,0,0,34
