scenario,run-number,value,final,min,max,mean,ticks
A,21,attack-rate,0,0,6.25,5.75,24
A,21,sum [overall-infection] of turtles,3,0,3,0.4,24
A,21,sum [forest-infected] of turtles,0,0,0,0,24
A,21,sum [HDR-infected] of turtles,0,0,0,0,24
A,21,sum [MDR-infected] of turtles,0,0,0,0,24
A,21,sum [open-area-infected] of turtles,2,0,2,0.08,24
A,21,sum [road-infected] of turtles,0,0,0,0,24
A,21,sum [forest-edge-infected] of turtles,1,0,1,0.32,24
A,22,R0-SEI,0,0,0,0,2
A,22,attack-rate,0,0,6.25,2.083333333,2
A,22,sum [overall-infection] of turtles,0,0,0,0,2
A,22,sum [forest-infected] of turtles,0,0,0,0,2
A,22,sum [HDR-infected] of turtles,0,0,0,0,2
A,22,sum [MDR-infected] of turtles,0,0,0,0,2
A,22,sum [open-area-infected] of turtles,0,0,0,0,2
A,22,sum [road-infected] of turtles,0,0,0,0,2
A,22,sum [forest-edge-infected] of turtles,0,0,0,0,2
A,23,R0-SEI,3,0,3.5,2.283227848,1500
A,23,attack-rate,68.75,0,93.75,68.09210526,1500
A,23,sum [overall-infection] of turtles,435,0,435,205.8907395,1500
A,23,sum [forest-infected] of turtles,229,0,229,102.9407062,1500
A,23,sum [HDR-infected] of turtles,8,0,8,4.35443038,1500
A,23,sum [MDR-infected] of turtles,40,0,40,22.71685543,1500
A,23,sum [open-area-infected] of turtles,115,0,115,56.33177881,1500
A,23,sum [road-infected] of turtles,2,0,2,0.392405063,1500
A,23,sum [forest-edge-infected] of turtles,41,0,41,19.15456362,1500
A,24,R0-SEI,3.75,0,4.125,2.358011326,1500
A,24,attack-rate,81.25,0,100,66.95536309,1500
A,24,sum [overall-infection] of turtles,418,0,418,212.6908728,1500
A,24,sum [forest-infected] of turtles,218,0,218,118.4283811,1500
A,24,sum [HDR-infected] of turtles,5,0,5,1.499000666,1500
A,24,sum [MDR-infected] of turtles,51,0,51,23.91938708,1500
A,24,sum [open-area-infected] of turtles,112,0,112,56.43704197,1500
A,24,sum [road-infected] of turtles,0,0,0,0,1500
A,24,sum [forest-edge-infected] of turtles,32,0,32,12.40706196,1500
A,25,R0-SEI,2.25,0,3.5625,2.23438541,1500
A,25,attack-rate,68.75,0,93.75,65.36059294,1500
A,25,sum [overall-infection] of turtles,374,0,374,185.2078614,1500
A,25,sum [forest-infected] of turtles,201,0,201,101.5922718,1500
A,25,sum [HDR-infected] of turtles,1,0,1,0.461025983,1500
A,25,sum [MDR-infected] of turtles,41,0,41,19.2811459,1500
A,25,sum [open-area-infected] of turtles,87,0,87,40.29247169,1500
A,25,sum [road-infected] of turtles,2,0,2,0.952031979,1500
A,25,sum [forest-edge-infected] of turtles,42,0,42,22.62891406,1500
A,26,R0-SEI,5,0,6.1875,3.351474017,1500
A,26,attack-rate,62.5,0,100,65.53964024,1500
A,26,sum [overall-infection] of turtles,606,0,606,287.6202532,1500
